parameter_name,category,current_value,default_value,value_range,core_effect,why_performance_related,risk_level,can_modify,evidence_source,notes,score
_enable_dbms_job_package,CPU调度,False,True,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
_ob_enable_pl_dynamic_stack_check,CPU调度,True,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
_use_odps_jni_connector,CPU调度,True,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
builtin_db_data_verify_cycle,CPU调度,20,20,"[0, 360] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
cluster,CPU调度,obcluster,obcluster,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
cluster_id,CPU调度,1781681497,0,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
default_compress,CPU调度,archive,archive,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_cgroup,CPU调度,True,True,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_dblink,CPU调度,True,True,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_ob_error_msg_style,CPU调度,True,True,"False means we use the ORA-xx format, True means we use the OBE-xx format",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_perf_event,CPU调度,True,True,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_record_trace_id,CPU调度,False,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_rich_error_msg,CPU调度,True,false,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
enable_sys_table_ddl,CPU调度,False,False,True: allowed,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
enable_sys_unit_standalone,CPU调度,False,False,True:turned on  False: turned off,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=1,1
enable_upgrade_mode,CPU调度,False,False,True: turned on,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
ls_meta_table_check_interval,CPU调度,1s,1s,"[1ms,+∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
ob_enable_java_env,CPU调度,False,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
ob_enable_utl_http,CPU调度,False,False,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
ob_event_history_recycle_interval,CPU调度,7d,7d,"[1d, 180d]",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
ob_python_home,CPU调度,,UNKNOWN,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
ob_storage_s3_url_encode_type,CPU调度,compliantRfc3986Encoding,compliantRfc3986Encoding,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
obconfig_url,CPU调度,,UNKNOWN,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
plugins_load,CPU调度,,UNKNOWN,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
recyclebin_object_expire_time,CPU调度,0s,0s,"[0s, +∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
rpc_port,CPU调度,2882,2882,"(1024, 65536) in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
schema_history_recycle_interval,CPU调度,10m,10m,"[0s, +∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=LOAD_BALANCE; score=1,1
server_check_interval,CPU调度,30s,30s,"[1s, +∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
server_permanent_offline_time,CPU调度,3600s,3600s,"[20s,+∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
sys_bkgd_net_percentage,CPU调度,60,60,"[0, 100] in integer",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
tablet_meta_table_check_interval,CPU调度,30m,30m,"[1m,+∞)",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=ROOT_SERVICE; score=1,1
tablet_size,CPU调度,128M,128M,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
unit_gc_wait_time,CPU调度,1m,1m,"[0,  30d]",影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
utl_file_open_max,CPU调度,50,50,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
zone,CPU调度,zone1,UNKNOWN,UNKNOWN,影响并发度、后台线程调度、排队和高负载响应时间,命中关键词: ,MEDIUM,UNKNOWN,real_query + previous_export,scope=CLUSTER; edit_level=DYNAMIC_EFFECTIVE; section=OBSERVER; score=1,1
